Entrez_ID	Ensemble_ID_human	Gene_symbol_human	HGNC Gene Symbol	Uniprot Accession
116328	ENSG00000165084	C8orf34	C8orf34	Q49A92
256643	ENSG00000173681	CXorf23	BCLAF3	A2AJT9
146325	ENSG00000161992	PRR35	PRR35	P0CG20
448831	ENSG00000205097	FRG2	FRG2	Q64ET8
84419	ENSG00000166920	C15orf48	C15orf48	Q9C002
79098	ENSG00000182795	C1orf116	C1orf116	Q9BW04
255809	ENSG00000214212	C19orf38	C19orf38	A8MVS5
23251	ENSG00000169330	KIAA1024	KIAA1024	Q9UPX6
23392	ENSG00000136813	KIAA0368	KIAA0368	Q5VYK3
91749	ENSG00000173214	KIAA1919	MFSD4B	Q5TF39
157773	ENSG00000164743	C8orf48	C8orf48	Q96LL4
57462	ENSG00000164976	KIAA1161	MYORG	Q6NSJ0
283897	ENSG00000185905	C16orf54	C16orf54	Q6UWD8
158401	ENSG00000165181	C9orf84	C9orf84	Q5VXU9
399947	ENSG00000185742	C11orf87	C11orf87	Q6NUJ2
79074	ENSG00000135974	C2orf49	C2orf49	Q9BVC5
647024	ENSG00000188112	C6orf132	C6orf132	Q5T0Z8
83638	ENSG00000175573	C11orf68	C11orf68	Q9H3H3
144097	ENSG00000168005	C11orf84	C11orf84	Q9BUA3
55216	ENSG00000150776	C11orf57	NKAPD1	Q6ZUT1
79932	ENSG00000142687	KIAA0319L	KIAA0319L	Q8IZA0
79020	ENSG00000136197	C7orf25	C7orf25	Q9BPX7
285636	ENSG00000205765	C5orf51	C5orf51	A6NDU8
57536	ENSG00000150477	KIAA1328	KIAA1328	Q86T90
8086	ENSG00000094914	AAAS	AAAS	Q9NRG9
65985	ENSG00000081760	AACS	AACS	Q86V21
51166	ENSG00000109576	AADAT	AADAT	Q8N5Z0
195827	ENSG00000158122	AAED1	AAED1	Q7RTV5
79719	ENSG00000103591	AAGAB	AAGAB	Q6PD74
22848	ENSG00000115977	AAK1	AAK1	Q2M2I8
28971	ENSG00000087884	AAMDC	AAMDC	Q9H7C9
14	ENSG00000127837	AAMP	AAMP	Q13685
15	ENSG00000129673	AANAT	AANAT	Q16613
25980	ENSG00000131043	AAR2	AAR2	Q9Y312
441376	ENSG00000205002	AARD	AARD	Q4LEZ3
16	ENSG00000090861	AARS	AARS	P49588
57505	ENSG00000124608	AARS2	AARS2	Q5JTZ9
132949	ENSG00000157426	AASDH	AASDH	Q4L235
60496	ENSG00000149313	AASDHPPT	AASDHPPT	Q9NRN7
10157	ENSG00000008311	AASS	AASS	Q9UDR5
26574	ENSG00000275700	AATF	AATF	Q9NY61
9625	ENSG00000181409	AATK	AATK	Q6ZMQ8
18	ENSG00000183044	ABAT	ABAT	P80404
19	ENSG00000165029	ABCA1	ABCA1	O95477
26154	ENSG00000144452	ABCA12	ABCA12	Q86UK0
154664	ENSG00000179869	ABCA13	ABCA13	Q86UQ4
20	ENSG00000107331	ABCA2	ABCA2	Q9BZC7
21	ENSG00000167972	ABCA3	ABCA3	Q99758
24	ENSG00000198691	ABCA4	ABCA4	P78363
23461	ENSG00000154265	ABCA5	ABCA5	Q8WWZ7
23460	ENSG00000154262	ABCA6	ABCA6	Q8N139
